song_title, key, i, i#, ii, ii#, iii, iv, iv#, v, v#, vi, vi#, vii
A Taste Of Honey.xml,A,32.75,0,27.125,0,39.125,0.75,7.125,30.875,0.75,69.5,0.25,6.375
Anna Go To Him.xml,D,191.75,0.03125,33.65625,0,84.03125,70.625,13.03125,57.6875,8.875,79.46875,5.0,22.03125
Ask Me Why.xml,E,113.625,0,57.9375,0.375,113.4375,54.75,4.0,72.75,18.25,72.5,0.75,50.8125
Baby Its You.xml,G,143.1875,0,45.6875,0,105.375,52.0625,0,55.5625,0,130.625,0,11.625
Boys.xml,E,131.1875,0,23.4375,11.1875,31.1875,48.8125,1.5,67.125,1.625,20.125,29.03125,3.3125
Chains.xml,A#,380.125,0,50.75,40.0,147.75,89.125,0,317.3125,2.0,78.4375,10.75,24.75
Do You Want To Know A Secret.xml,E,36.5625,1.5,54.0,15.0,21.1875,43.4375,4.625,56.125,8.625,48.6875,10.3125,23.8125
I Saw Her Standing There.xml,E,145.6875,0,23.28125,17.75,44.875,60.28125,0.15625,55.9375,6.4375,11.5625,41.0625,8.25
Love Me Do.xml,G,256.625,0,21.0,0,88.625,97.375,0,77.625,0,54.25,13.5,11.5
Misery.xml,C,74.5625,0.5,15.75,0,60.375,32.75,0.125,48.25,0,41.4375,0,13.5
Please Please Me.xml,E,202.5,0,24.5,9.25,53.5,58.625,0,135.875,4.875,48.25,4.75,16.125
Ps I Love You.xml,D,90.75,0,34.375,8.75,30.875,28.25,0,74.875,19.375,24.625,5.5,9.125
Theres A Place.xml,E,168.3125,0,48.4375,0.125,90.0,64.28125,3.875,113.125,3.5,71.8125,0.125,55.6875
Twist And Shout.xml,D,47.25,0,48.75,1.75,12.75,34.125,0,110.375,0.875,25.875,1.75,71.75
